Volume_(BTC),Volume_(Currency),Weighted_Price
2.64995,1193.8015781,450.49966154
2.67456,1215.1060992,454.32
0.12543,57.2852043,456.71055011
0.74022,340.23046011,459.63424402
0.0,0.0,458.7
6.56166,2991.3876864,455.88885837
10.984,5008.2902721,455.96233358
2.5629,1167.4814933,455.53142663
0.57306,253.7626904,442.8204558
0.50346,223.8333792,444.59019426
0.046,20.47782,445.17
1.1289,500.034966,442.94
1.997444,891.51559998,446.32820744
2.30117,1033.4091428,449.07987796
0.20886,94.1895942,450.97
9.24683122,4390.3949293,474.79994225
11.38706,5666.8598457,497.65785424
0.48522,251.8146234,518.97
0.49255,258.0505405,523.90729977
1.06283,567.7106445,534.15
0.53499,285.1396428,532.98125722
0.09169442,49.365224063,538.36671918
0.31828,171.4510704,538.68
23.95631377,13894.661987,580.0
0.83767,483.9637172,577.74985042
0.42379989,247.19562522,583.28383525
0.79285,464.879669,586.34
0.96247425,552.14369762,573.6711373
1.73431634,1007.0051817,580.63523848
0.42654,246.235073,577.28483378
0.1011,59.215281,585.71
7.3823554,4638.6380217,628.34119605
18.36873496,12495.875214,680.27957512
5.28377,3643.3707553,689.539998
4.78005,3251.4349455,680.20940063
0.45141,331.1041338,733.48869941
26.10439496,18848.448168,722.04118109
0.01444,10.77224,746.0
4.61383,3494.1271775,757.31597773
5.0994,3892.361958,763.29802683
3.40314,2401.512504,705.67549498
0.01234,8.2485496,668.44
4.21688,2509.6820155,595.15139523
19.56715632,13173.778838,673.25975334
0.05899,40.2388487,682.13
1.26916,840.5139016,662.26
0.6234847,410.37274043,658.19215841
0.24912,162.9735344,654.19691073
0.35975,229.47034497,637.86058365
1.98333,1268.6369064,639.64993541
31.53994078,21436.168835,679.65152455
0.15407,104.860042,680.6
0.31402,216.7017804,690.08910388
0.35736,242.0812922,677.41574938
1.01,681.8629,675.11178218
2.2303,1503.0173468,673.90814993
1.1676,758.761094,649.84677458
0.0,0.0,641.80572564
0.19207,126.7162618,659.74
0.0,0.0,650.3143298
0.170497,111.505038,654.0
8.97683,5836.008877,650.11912635
16.63909,11097.637791,666.96182248
4.91438,3223.6012656,655.95278867
0.07874,52.3809976,665.24
6.41885,4294.4772602,669.04153551
1.0033,671.66753352,669.45832106
1.35914,926.19057709,681.45340222
0.1079,72.899398,675.62
0.03037,20.423825,672.5
0.94869,630.9618722,665.08751246
0.23156,154.9960603,669.35593496
1.75,1151.9626453,658.26436875
0.34165901,224.58050017,657.32351144
0.7886,517.731672,656.52
1.72928,1117.7823352,646.38597289
0.2165,141.957885,655.69461894
0.66408951,436.48370861,657.26638056
0.2482,163.1788365,657.44897865
0.0,0.0,657.48551989
80.45927,51676.604271,642.27035954
1.87715713,1178.2668133,627.68683266
3.65277,2200.4566429,602.40766402
8.9226621,4846.3549631,543.15123769
1.095479,638.7709049,583.09735276
0.15046,86.3799706,574.1058793
0.9186,530.20259232,577.18549131
0.09829,58.3938395,594.09746159
0.25834,152.769559,591.35077417
0.09952,58.5834432,588.66
8.76144631,5150.0777894,587.81137351
4.17433,2476.477865,593.26355727
0.37288,219.3242872,588.19
0.32787,192.92832873,588.42934312
16.22632278,9451.9386799,582.50651168
0.39332,225.1108755,572.33518636
4.32172,2452.6766176,567.52325871
0.20822,120.5775054,579.08704927
0.48604729,279.18495551,574.39874937
1.10499,633.3587383,573.18051593
0.17389,99.917194,574.6
1.18085,689.6045915,583.99
0.39626,229.93149797,580.25412095
0.90908,532.6390628,585.91
0.25256,146.1994072,578.87
1.30598,750.2882348,574.5020864
0.20919,120.5227671,576.1401936
0.21187,122.0188874,575.9139444
0.18892,107.9847828,571.59
0.06289,36.1391096,574.64
13.52652106,7786.8509568,575.67285204
0.072262,41.3972287,572.87687443
0.32001416,183.25378552,572.64274032
0.44184,252.2862216,570.99
1.46521,843.27185499,575.52968857
0.04028,24.115636,598.7
0.25309,154.2355769,609.41
0.10435,63.321667,606.82
0.27942436,170.69666694,610.88684944
0.29393,180.77450108,615.02569007
7.30614,4538.3584638,621.17047631
0.14424,89.707396,621.93147532
0.36816,229.40182791,623.10361775
2.0967,1276.408459,608.77019078
0.0806,49.01209477,608.09050583
1.31915619,802.80064937,608.57133936
4.80887,2921.8745885,607.60107645
0.64507,391.48140948,606.88205851
0.66233,402.7922416,608.14434134
0.02946,17.9001906,607.61
0.0,0.0,610.47
0.99682,607.41451224,609.3522524
2.94267,1763.5867913,599.31517681
0.0,0.0,597.08656832
0.43707,260.85514184,596.8269198
3.17883,1923.4570454,605.0833311
0.2169,130.8047013,603.06455187
1.659e-05,0.0099734103,601.17
2.31844213,1405.6208507,606.27816953
0.4147,250.39586,603.8
0.63479525,384.67647325,605.98511606
1.08164,655.758414,606.26309493
0.54996,336.9494928,612.68
1.18075,724.3934006,613.50277417
1.24141,763.4981373,615.02496137
0.53534,326.8231342,610.49638398
0.51895,316.912386,610.68
0.27267558,167.10104894,612.82
1.84957,1134.5985588,613.43910141
0.19467,120.598065,619.5
0.76095,470.5946533,618.43045312
0.83050378,514.18905404,619.1290954
0.18382,115.8645871,630.31545588
0.45182,289.0474086,639.74018105
2.70456,1725.6174624,638.04
0.15509,98.5203458,635.24628151
0.0,0.0,639.05
0.39425,253.0424775,641.83253646
0.35467,226.6035097,638.91366538
0.02004,12.787124,638.08003992
1.13302,721.37951201,636.68735946
0.98325003,619.4257866,629.97789748
0.3976,250.268872,629.44887324
1.82769258,1155.0659336,631.98042509
0.67322,440.806765,654.77372181
0.43694,283.9884108,649.94830137
0.51010758,333.01863253,652.84
0.54594,358.97772184,657.54061222
3.64701612,2506.521239,687.28
0.76510441,523.92352923,684.77389802
4.55091,3196.6208114,702.41354178
0.02466,17.5216096,710.5275588
0.61052,427.4372624,700.12
0.68089,484.5959343,711.70957761
0.04586,33.3376239,726.94339075
7.23982,5347.697543,738.65062156
0.42731,297.4130515,696.01238328
0.07701,54.2489244,704.44
0.1817,130.453332,717.96
