Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
,,,,0.0,0.0,342.5
345.0,345.0,340.0,340.0,2.0,685.0,342.5
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
,,,,0.0,0.0,360.0
